,Report Date Year,LGD_State_Code,LGD_Dist_Code,crop_code,crop,Modal Prices,Minimum Prices,Maximum Prices
0,2012,1,5.0,202,"Arhar,Redgram",6945.138888888889,6515.745856353591,7374.03314917127
1,2012,1,5.0,203,"Urad,Blackgram",4831.018518518518,4281.481481481482,5383.333333333333
2,2012,1,5.0,204,"Moong,Greengram",6410.851648351649,6166.483516483517,6655.082417582417
3,2012,1,5.0,205,"Masur,Lentil",5238.3950276243095,5036.088397790055,5430.7569060773485
4,2012,1,5.0,701,Potato,967.2857142857143,918.75,1022.4431818181819
5,2012,1,5.0,708,Onion,935.9042553191489,881.9148936170212,988.8297872340426
6,2012,1,7.0,701,Potato,1278.804347826087,1144.5652173913043,1413.0434782608695
7,2012,1,7.0,708,Onion,1131.985294117647,1077.2058823529412,1186.764705882353
8,2012,1,12.0,701,Potato,1050.0,1000.0,1100.0
9,2012,1,12.0,708,Onion,1050.0,1000.0,1100.0
10,2012,1,624.0,701,Potato,1271.5116279069769,1187.2832369942196,1362.0809248554913
11,2012,1,624.0,708,Onion,1166.0818713450292,1101.4619883040937,1230.701754385965
12,2012,1,627.0,701,Potato,983.3333333333334,888.8888888888889,1077.7777777777778
13,2012,1,627.0,708,Onion,1766.6666666666667,1666.6666666666667,1866.6666666666667
14,2012,2,15.0,701,Potato,993.5643564356436,762.3762376237623,1311.881188118812
15,2012,2,15.0,708,Onion,983.1683168316831,897.5247524752475,1076.7326732673268
16,2012,2,16.0,701,Potato,1100.802139037433,965.7754010695187,1235.8288770053475
17,2012,2,16.0,708,Onion,1025.4010695187167,935.8288770053476,1116.5775401069518
18,2012,2,17.0,701,Potato,1192.190082644628,1064.4214876033059,1265.2479338842975
19,2012,2,17.0,708,Onion,1069.9799196787149,982.1285140562248,1097.1887550200804
20,2012,2,18.0,101,Paddy,1260.0,1250.0,1276.6666666666667
21,2012,2,18.0,104,Maize,744.4444444444445,666.6666666666666,800.0
22,2012,2,18.0,701,Potato,1089.779005524862,948.7707182320441,1188.6740331491712
23,2012,2,18.0,708,Onion,1013.4038199181446,938.06275579809,1074.1473396998636
24,2012,2,18.0,1009,Soyabean,2880.0,2729.0,3220.0
25,2012,2,19.0,701,Potato,1492.6470588235295,1376.4705882352941,1615.1515151515152
26,2012,2,20.0,701,Potato,1219.304556354916,1016.9904076738609,1451.9184652278177
27,2012,2,20.0,708,Onion,1098.83631713555,1030.9462915601023,1186.8286445012789
28,2012,2,22.0,101,Paddy,1800.0,1000.0,2500.0
29,2012,2,22.0,701,Potato,1076.7463235294117,759.9264705882352,1271.5073529411766
30,2012,2,22.0,708,Onion,940.8212560386473,792.2705314009662,1054.8309178743962
31,2012,2,23.0,701,Potato,1284.5588235294117,603.6764705882352,1652.9411764705883
32,2012,2,24.0,701,Potato,1006.268221574344,949.5652173913044,1100.4360465116279
33,2012,2,24.0,708,Onion,839.84375,805.46875,913.59375
34,2012,2,25.0,701,Potato,1198.6979166666667,801.5544041450777,1467.3575129533679
35,2012,2,25.0,708,Onion,974.3827160493827,841.9753086419753,1146.2962962962963
36,2012,2,26.0,701,Potato,943.8787185354691,829.3068181818181,1101.25
37,2012,2,26.0,708,Onion,990.3890160183066,890.5034324942792,1130.5619266055046
38,2012,3,27.0,101,Paddy,1639.9558823529412,1459.7985347985348,1815.3296703296703
39,2012,3,27.0,104,Maize,1293.0,1265.0,1350.0
40,2012,3,27.0,106,Wheat,1292.9876543209878,1291.3004115226338,1295.9588477366256
41,2012,3,27.0,701,Potato,794.2533936651583,655.3846153846154,912.331081081081
42,2012,3,27.0,708,Onion,707.9887640449438,621.8426966292135,778.2471910112359
43,2012,3,28.0,101,Paddy,1275.391061452514,1273.649025069638,1277.2980501392758
44,2012,3,28.0,106,Wheat,1283.6186186186187,1283.4640718562873,1283.7724550898204
45,2012,3,28.0,107,Barley,1355.8333333333333,1242.9166666666667,1384.7916666666667
46,2012,3,28.0,701,Potato,826.7359625668449,741.5387182910547,908.3164218958611
47,2012,3,28.0,708,Onion,803.8451443569554,720.2263779527559,888.1594488188977
48,2012,3,28.0,1004,Rapeseed & Mustard,3375.0,3200.0,3438.125
49,2012,3,28.0,1101,Cotton,4018.0333333333333,3336.5,4155.919047619048
50,2012,3,29.0,101,Paddy,1782.4926199261993,1646.981549815498,1900.2878228782288
51,2012,3,29.0,106,Wheat,1282.9166666666667,1282.2544378698226,1282.4260355029585
52,2012,3,29.0,107,Barley,1247.75,1184.0,1311.5
53,2012,3,29.0,701,Potato,701.0349854227405,564.1253644314869,834.5918367346939
54,2012,3,29.0,708,Onion,721.8965517241379,609.3103448275862,836.0501567398119
55,2012,3,29.0,1101,Cotton,3970.4117647058824,3316.1936936936936,4125.4009009009005
56,2012,3,30.0,101,Paddy,1307.5541125541126,1297.6824034334763,1342.3060344827586
57,2012,3,30.0,104,Maize,455.0,383.3333333333333,526.6666666666666
58,2012,3,30.0,106,Wheat,1284.9615384615386,1284.9618320610687,1284.9618320610687
59,2012,3,30.0,701,Potato,801.2148148148148,696.7555555555556,910.1333333333333
60,2012,3,30.0,708,Onion,889.6704180064309,783.5289389067524,983.9389067524115
61,2012,3,31.0,101,Paddy,1766.863354037267,1511.3354037267081,1946.6055900621118
62,2012,3,31.0,104,Maize,500.0,500.0,500.0
63,2012,3,31.0,106,Wheat,1284.950980392157,1284.950980392157,1284.950980392157
64,2012,3,31.0,701,Potato,793.4585635359116,710.7395143487859,873.4917127071823
65,2012,3,31.0,708,Onion,843.4396887159533,743.2360570687418,936.5239948119325
66,2012,3,32.0,101,Paddy,1380.686274509804,1300.086705202312,1707.5581395348838
67,2012,3,32.0,106,Wheat,1285.0,1285.0,1285.0
68,2012,3,32.0,701,Potato,832.6120689655172,726.4832535885167,910.2679425837321
69,2012,3,32.0,708,Onion,851.4012605042017,757.6442812172088,923.2528856243442
70,2012,3,33.0,101,Paddy,1280.462962962963,1280.4166666666667,1280.9722222222222
71,2012,3,33.0,104,Maize,1040.3125,849.53125,1116.171875
72,2012,3,33.0,106,Wheat,1303.7037037037037,1300.0,1306.1728395061727
73,2012,3,33.0,701,Potato,887.1850758853288,749.036164844407,958.5850168350169
74,2012,3,33.0,708,Onion,922.6856435643564,793.6716171617162,995.0536303630363
75,2012,3,34.0,101,Paddy,1367.1622176591375,1345.2418032786886,1396.2295081967213
76,2012,3,34.0,104,Maize,831.2571428571429,709.4871794871794,984.4615384615385
77,2012,3,34.0,106,Wheat,1296.6021126760563,1294.3133802816901,1298.8204225352113
78,2012,3,34.0,701,Potato,758.1466763005781,657.952016689847,838.8205841446453
79,2012,3,34.0,708,Onion,822.3798955613577,738.6653645833334,899.7135416666666
80,2012,3,35.0,101,Paddy,1518.6029411764705,1355.1756097560976,1591.6926829268293
81,2012,3,35.0,104,Maize,925.2380952380952,753.8095238095239,983.8095238095239
82,2012,3,35.0,106,Wheat,1279.7619047619048,1275.952380952381,1283.8095238095239
83,2012,3,35.0,107,Barley,1333.3333333333333,1308.3333333333333,1355.0
84,2012,3,35.0,203,"Urad,Blackgram",3500.0,3450.0,3583.3333333333335
85,2012,3,35.0,205,"Masur,Lentil",5120.0,5040.0,5190.0
86,2012,3,35.0,701,Potato,662.7935656836461,543.0,818.1613691931541
87,2012,3,35.0,708,Onion,761.9697986577181,609.3959731543624,884.8657718120805
88,2012,3,35.0,1004,Rapeseed & Mustard,3933.3333333333335,3850.0,4000.0
89,2012,3,36.0,101,Paddy,1467.2667682926829,1388.4535768645358,1514.7549467275494
90,2012,3,36.0,104,Maize,1106.2362637362637,1049.5164835164835,1150.357142857143
91,2012,3,36.0,106,Wheat,1296.4672897196263,1293.920745920746,1298.6946386946388
92,2012,3,36.0,701,Potato,745.6577181208054,654.3020134228188,841.8624161073825
93,2012,3,36.0,708,Onion,799.9487478159581,708.4895227008149,890.9022118742724
94,2012,3,36.0,1004,Rapeseed & Mustard,3626.0,3624.0,3630.0
95,2012,3,36.0,1101,Cotton,3707.1428571428573,3585.714285714286,3778.5714285714284
96,2012,3,37.0,101,Paddy,1274.313725490196,1274.313725490196,1280.3186274509803
97,2012,3,37.0,106,Wheat,1285.0,1285.0,1285.0
98,2012,3,37.0,701,Potato,988.6603221083456,933.5380116959064,1050.190336749634
99,2012,3,37.0,708,Onion,869.1365777080063,820.282131661442,932.9467084639498
100,2012,3,37.0,1101,Cotton,4038.930648769575,3457.1588366890383,4209.970917225951
101,2012,3,38.0,101,Paddy,1299.164383561644,1284.5065789473683,1316.078947368421
102,2012,3,38.0,104,Maize,683.3333333333334,683.3333333333334,683.3333333333334
103,2012,3,38.0,106,Wheat,1285.1473684210525,1284.9791666666667,1289.4791666666667
104,2012,3,38.0,701,Potato,881.466552315609,835.0819112627986,936.4383561643835
105,2012,3,38.0,708,Onion,819.7542533081286,788.0414312617703,868.2264150943396
106,2012,3,39.0,101,Paddy,1480.2631578947369,1460.438596491228,1488.421052631579
107,2012,3,39.0,106,Wheat,1285.0,1285.0,1285.0
108,2012,3,39.0,701,Potato,823.7022132796781,753.2394366197183,891.7002012072435
109,2012,3,39.0,708,Onion,766.0802469135803,689.344262295082,842.4282786885246
110,2012,3,39.0,1101,Cotton,4103.810679611651,3414.2961165048546,4173.679611650486
111,2012,3,40.0,101,Paddy,1277.5359477124182,1277.5359477124182,1278.2875816993464
112,2012,3,40.0,104,Maize,1046.3688524590164,918.2254098360655,1195.3155737704917
113,2012,3,40.0,106,Wheat,1292.751879699248,1292.6766917293232,1292.9398496240601
114,2012,3,40.0,701,Potato,798.0526992287918,763.107969151671,829.6195372750643
115,2012,3,40.0,708,Onion,903.2613458528951,844.4413145539907,954.7339593114241
